"","Date","MinTemp","MaxTemp","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
"150282",2008-07-19,21.4,29.9,5.4,8.1,"WNW",26,"E","NW",9,15,61,57,1013.3,1009.8,2,2,26.9,29.9,"No","No"
"150283",2008-07-20,21.9,31.4,4.8,8.4,"NW",35,"S","NW",7,22,83,72,1013.6,1010,5,3,25.2,28.3,"No","No"
"150284",2008-07-21,21.4,32.7,5.4,10.9,"SE",41,"SE","NW",22,22,70,36,1012.2,1009,0,1,24,30.9,"No","No"
"150285",2008-07-22,22.5,32.5,7.2,10,"ESE",52,"SE","SSE",26,19,30,28,1012.8,1009.1,1,1,24.8,31.8,"No","No"
"150286",2008-07-23,21.4,30.9,7.6,11,"SE",52,"SE","SE",31,26,30,20,1014.4,1010.7,0,0,22.9,30.3,"No","No"
"150287",2008-07-24,17.3,29.1,10.8,10.5,"SE",44,"SE","S",28,15,27,19,1014.5,1010.3,0,0,20.5,28.3,"No","No"
"150288",2008-07-25,15.9,29.3,6.6,11,"ESE",43,"SE","SSE",24,17,24,13,1015,1010.8,0,0,19.5,28.4,"No","No"
"150289",2008-07-26,14.6,30.2,6.8,11.1,"E",41,"ESE","SE",17,15,32,8,1014.4,1010.7,0,0,19.8,29.7,"No","No"
"150290",2008-07-27,12.5,31.3,5.6,10.9,"NNW",28,"S","NNW",4,19,60,37,1014.9,1011.2,1,0,21.7,27.4,"No","No"
"150291",2008-07-28,15.5,30,5,10.8,"N",33,"E","NW",2,20,70,56,1014.6,1011.3,0,1,23.9,27.9,"No","No"
"150292",2008-07-29,17.4,31.6,5.6,10.7,"E",33,"SSE","NNW",11,19,68,33,1015,1010.6,0,0,24.9,29.5,"No","No"
"150293",2008-07-30,18.9,28.7,7.6,9.4,"NW",35,"S","NW",7,22,95,54,1015.8,1011.7,6,1,20.6,27.6,"No","No"
"150294",2008-07-31,17.4,30.3,5.4,8.7,"E",33,"ENE","NNW",17,22,66,54,1016.7,1012.6,2,6,22.9,27.1,"No","No"
"150295",2008-08-01,17.3,32,5,10.1,"SSE",33,"SE","N",13,28,67,50,1015.5,1011.8,7,3,23.4,29.5,"No","No"
"150296",2008-08-02,18.1,32.2,5.6,9.4,"E",44,"E","ESE",15,24,78,23,1015.5,1011.2,5,5,23.7,32,"No","No"
"150297",2008-08-03,18.8,34.1,6.2,11.4,"ESE",54,"ESE","E",17,33,64,11,1015.6,1010.9,1,3,23.1,33.5,"No","No"
"150298",2008-08-04,17.5,34.7,8.6,10.3,"ESE",52,"S","WNW",11,28,77,45,1016.2,1011.8,6,5,23.3,29.3,"No","No"
"150299",2008-08-05,18,33.8,6.2,10.2,"ESE",44,NA,"NW",0,24,74,62,1015.2,1011.3,3,1,25.2,28.3,"No","No"
"150300",2008-08-06,17.6,32.6,6.8,11,"E",46,"SE","ENE",15,24,84,21,1015.7,1011.9,0,0,23.1,31.8,"No","No"
"150301",2008-08-07,18.4,32.3,6.4,11.2,"ESE",50,"ESE","E",24,24,33,18,1016.3,1012,0,0,22.7,31.3,"No","No"
"150302",2008-08-08,15.9,32.1,7.6,11.1,"ESE",52,"SE","E",19,19,NA,13,1015.5,1012,0,0,21.4,31.9,"No","No"
"150303",2008-08-09,16.6,31.7,8,10.1,"E",41,"ESE","NW",15,24,32,18,1016,1011.7,3,6,21.2,30.7,"No","No"
"150304",2008-08-10,18.1,32.4,8,8.7,"E",37,"SE","E",15,17,36,25,1016.1,1011.9,6,7,22.6,30.9,"No","No"
"150305",2008-08-11,19.2,32.2,6.4,10.1,"ESE",46,"SE","WNW",26,20,21,15,1015.2,1011.6,3,3,22.4,31,"No","No"
"150306",2008-08-12,19,31.7,7.8,10.9,"ESE",37,"SE","WNW",20,19,21,24,1015.9,1012.1,4,5,22.8,30.1,"No","No"
"150307",2008-08-13,19.9,32.7,7.4,10.3,"E",43,"SE","NW",20,26,22,19,1016.5,1012.5,1,1,22.9,31.7,"No","No"
"150308",2008-08-14,19.8,32,8,11,"NNE",31,"SE","NNW",20,22,25,27,1015.9,1012.2,3,5,23.4,29.4,"No","No"
"150309",2008-08-15,19.8,33.8,9.4,8.6,"N",41,"SE","N",24,11,26,13,1014.7,1010.4,3,3,23.8,33.5,"No","No"
"150310",2008-08-16,20.5,31.5,8.2,11.1,"ESE",43,"ESE","NNW",30,17,15,13,1015.6,1012.5,3,2,23.6,30.8,"No","No"
"150311",2008-08-17,18.3,30.8,9.8,10.8,"E",44,"SE","SSE",26,24,18,8,1017.6,1013.7,1,1,21.7,29.8,"No","No"
"150312",2008-08-18,18.1,30.8,9.2,10.8,"SE",46,"SE","SE",31,17,13,9,1018.4,1014.7,2,1,21.1,29.5,"No","No"
"150313",2008-08-19,17.7,31.3,10.1,10.6,"E",48,"SE","N",20,15,24,20,1016.8,1013.2,2,2,21.5,30.5,"No","No"
"150314",2008-08-20,16.3,31.8,6.8,10.4,"ENE",39,"NE","NNE",13,22,50,37,1016.4,1013,1,1,24.7,30.7,"No","No"
"150315",2008-08-21,20.2,33.2,7.2,11,"E",41,"E","NNW",13,20,70,48,1016.9,1012.6,0,4,25.1,29.5,"No","No"
"150316",2008-08-22,19.4,34.7,6.6,10.1,"E",52,"SSE","ESE",17,19,67,25,1015.8,1010.8,2,3,24.7,33.2,"No","No"
"150317",2008-08-23,22,31.7,11,8.7,"ESE",48,"SE","SSE",24,20,17,15,1015.5,1011.3,7,4,22.1,30.1,"No","No"
"150318",2008-08-24,21.1,32.7,8.6,8.6,"ESE",37,"SE","SE",19,11,24,26,1016.1,1010.9,6,3,23.1,32.1,"No","No"
"150319",2008-08-25,20.9,32.9,6.8,9.8,"ENE",48,"E","NNE",22,31,54,43,1014.7,1010.1,3,3,27.3,31.6,"No","No"
"150320",2008-08-26,24.7,33.1,7.6,9.4,"N",46,"SSE","N",9,30,65,44,1013.9,1010.2,7,4,27,31.2,"No","No"
"150321",2008-08-27,22,34.2,8,11,"NE",48,"E","NNE",7,31,63,43,1014.1,1009.8,0,3,27.2,33,"No","No"
"150322",2008-08-28,22.6,32.9,6.4,11,"NNW",33,"NE","NNW",11,24,68,52,1013.8,1009.7,1,1,27.6,30.6,"No","No"
"150323",2008-08-29,22.4,33,8,11,"NNE",48,"NE","NNE",17,28,70,44,1012.9,1009,1,1,26.8,32,"No","No"
"150324",2008-08-30,22.7,32.8,7.7,9.4,"E",41,"ENE","N",15,28,62,47,1013.4,1009.3,1,3,27.4,30.9,"No","No"
"150325",2008-08-31,22.1,32.4,6.6,10.8,"NE",33,"E","NNW",6,24,72,55,1014.4,1010,3,2,27,30.9,"No","No"
"150326",2008-09-01,23.8,33.3,6.2,8.5,"ENE",39,"ENE","N",7,26,72,50,1014.4,1010.4,7,7,28,30.9,"No","No"
"150327",2008-09-02,23.5,34.1,6.4,10.5,"E",52,NA,"NW",0,22,73,57,1014.4,1010.8,4,5,27,30,"No","No"
"150328",2008-09-03,21.8,34.8,6.8,10.4,"E",43,"ENE","N",13,28,69,47,1014.1,1009.4,4,3,27.7,31.9,"No","No"
"150329",2008-09-04,23.7,34.5,6.8,10.3,"E",37,"SE","NNW",20,24,61,59,1013.3,1009,1,1,26.8,30.1,"No","No"
"150330",2008-09-05,21.8,31.8,8.2,10.4,"E",35,"ENE","N",11,19,66,54,1012.5,1009.1,1,1,27.2,30.8,"No","No"
"150331",2008-09-06,24,30.9,7.2,9.3,"N",33,"N","NW",4,22,73,63,1011.6,1008.7,4,4,27.4,28.8,"No","No"
"150332",2008-09-07,22.4,31.8,4.6,10.6,"WNW",33,"SSW","WNW",4,26,71,57,1012.1,1007.9,2,1,27.4,30.5,"No","No"
"150333",2008-09-08,22.5,36,6.2,10.5,"WNW",33,"WSW","NW",9,22,67,55,1012.9,1008.1,3,3,27.5,31.5,"No","No"
"150334",2008-09-09,23,36.2,7,10.3,"E",48,"SSE","NNW",9,26,68,30,1013.4,1009.7,1,1,28.1,32.4,"No","No"
"150335",2008-09-10,21,37,8,9.9,"E",52,"SSE","NNW",13,24,63,24,1013.6,1008.5,1,8,27.5,32.6,"No","No"
"150336",2008-09-11,21.7,32.1,6.4,10.3,"NW",33,"SW","NW",6,24,74,50,1013.8,1009.2,1,1,27.1,30.9,"No","No"
"150337",2008-09-12,22.2,32,7.6,10.8,"WNW",35,"WNW","WNW",9,26,67,53,1012.8,1008.7,2,1,27.5,30.1,"No","No"
"150338",2008-09-13,23.4,32.5,5.8,9.4,"NNW",31,"NE","NNW",15,17,72,43,1014.3,1011,2,1,27.3,32,"No","No"
"150339",2008-09-14,22.7,32.5,7.8,10.4,"N",35,"NNE","NNW",11,20,74,56,1014.8,1010.9,1,4,27.7,31.6,"No","No"
"150340",2008-09-15,24.2,30.8,7.6,1.1,"NW",28,"NW","NNW",7,17,73,61,1014.4,1011.3,7,7,27.4,29.6,"No","No"
"150341",2008-09-16,23,32.5,4,10.2,"NW",31,"S","NW",17,20,77,52,1013.5,1009.7,6,1,27.3,31.2,"No","No"
"150342",2008-09-17,23.6,33.1,7,10.2,"WNW",39,NA,"NW",0,30,67,61,1014.4,1010.8,3,1,28.8,30.6,"No","No"
"150343",2008-09-18,24.8,34.1,6.4,9,"WNW",44,"W","WNW",11,22,68,42,1014,1010.1,1,6,29,32.9,"No","No"
"150344",2008-09-19,23.7,33.2,7.8,9.8,"WNW",35,"WSW","NW",2,28,66,51,1014.1,1009.8,2,1,28.3,32,"No","No"
"150345",2008-09-20,23.9,33.3,8,10.7,"NNE",39,"NNE","NNW",17,24,59,56,1013.7,1009.8,1,2,28.7,31.2,"No","No"
"150346",2008-09-21,22.8,33.4,7,10.7,"N",37,"N","NNW",9,24,64,42,1013,1009,2,1,28.9,32.7,"No","No"
"150347",2008-09-22,24,32.9,7.8,9.7,"N",33,"NNW","NNW",15,20,67,39,1013.5,1009.4,5,1,27.9,32,"No","No"
"150348",2008-09-23,23.8,32.5,7.2,8.3,"ESE",39,"NW","NNW",9,22,64,55,1014.3,1010.3,4,2,29.1,30.8,"No","Yes"
"150349",2008-09-24,23.9,33.3,7,2.9,"ENE",35,"ESE","SW",17,19,77,43,1014.9,1010.7,6,6,25.9,32.4,"Yes","No"
"150350",2008-09-25,23.7,34.5,12.2,9.9,"E",46,"ENE","NNW",17,24,61,34,1014.3,1010.1,5,4,28.8,32.5,"No","No"
"150351",2008-09-26,22.9,34.3,11,10.5,"NNW",37,"ENE","NNW",7,22,54,45,1015.5,1010.8,3,3,28.8,31.8,"No","No"
"150352",2008-09-27,23.8,32.7,8.2,9,"N",35,"ENE","NNW",9,24,62,42,1015.2,1010.9,5,4,28.7,31.5,"No","No"
"150353",2008-09-28,23.5,33,6.6,9.8,"N",35,"NNE","NNW",11,24,61,50,1014.8,1010.9,3,2,28.8,31.6,"No","No"
"150354",2008-09-29,23.8,33.7,6.8,10.5,"NNW",35,"NNE","NW",6,24,57,52,1013.8,1009,1,1,28.7,30.9,"No","No"
"150355",2008-09-30,23.4,33.4,7,10.7,"NNW",37,"W","NW",7,24,61,43,1012.9,1009.1,1,1,28.7,32,"No","No"
"150356",2008-10-01,24.7,33.4,7.6,9.8,"NNW",33,"NE","WNW",6,20,68,41,1013.8,1009.9,7,3,28.6,32.5,"No","No"
"150357",2008-10-02,24,34.5,8,11.9,"NE",41,"E","NNW",15,20,67,53,1014.6,1010.4,4,1,28.5,32.4,"No","No"
"150358",2008-10-03,25,34.6,7.6,10.2,"NNW",39,"SSE","NNW",11,24,68,44,1014.8,1009.9,4,3,29.1,33.4,"No","No"
"150359",2008-10-04,25.3,33.3,7.2,7.5,"NNW",37,"NNE","N",7,26,77,51,1013.8,1009.6,6,4,28.3,32.8,"No","No"
"150360",2008-10-05,25.7,33.4,7.2,8.8,"NW",31,"NE","NNW",13,19,68,50,1014.3,1010.2,6,3,29,32.2,"No","No"
"150361",2008-10-06,25.6,36.1,7,10.4,"N",50,"E","NNE",13,33,61,40,1013.6,1008.9,2,2,30.3,34.4,"No","No"
"150362",2008-10-07,26.7,34,7.6,10.3,"S",57,"E","N",17,26,61,55,1013.3,1008.8,3,3,30.5,32.6,"No","Yes"
"150363",2008-10-08,25.2,34.3,10.2,9.4,"WNW",35,"SSE","N",11,20,69,48,1013.7,1008.9,1,2,28.6,33.6,"Yes","No"
"150364",2008-10-09,25.3,33.5,5.6,0.9,"N",31,"NE","NNW",13,22,66,55,1013.4,1009.7,3,4,29.5,32.7,"No","No"
"150365",2008-10-10,24.8,35.5,5,10.4,"N",46,"SE","N",17,30,80,52,1014.1,1010.4,3,2,28.5,32.9,"No","No"
"150366",2008-10-11,25.7,36.8,9.2,9.6,"ENE",41,"S","N",15,28,73,61,1014.4,1009.6,7,5,29.4,32,"No","No"
"150367",2008-10-12,26.3,33.9,6.8,10.2,"NW",35,"SSW","NW",15,28,72,59,1012.6,1008.8,2,2,29.8,32.6,"No","No"
"150368",2008-10-13,25.4,34.2,7,10.4,"WNW",39,"SSW","NW",7,28,64,60,1012.5,1008,1,3,30.2,32.8,"No","No"
"150369",2008-10-14,26.5,34.8,7.6,8.1,"N",41,"NNW","NNW",13,22,62,54,1012.5,1008.4,4,5,30.5,32.6,"No","Yes"
"150370",2008-10-15,22.1,34.3,12.4,5.5,"E",102,"S","E",13,22,83,48,1013,1008.2,7,6,26.9,34,"Yes","Yes"
"150371",2008-10-16,20.6,33.2,9.8,9.1,"NNW",31,"S","NNW",6,20,74,63,1011.1,1006.2,5,2,28.5,31.4,"Yes","No"
"150372",2008-10-17,24.5,30.1,5.6,1.6,"SE",54,"ENE","W",9,9,85,75,1010.2,1007.5,6,7,27.6,28.9,"No","Yes"
"150373",2008-10-18,23,33.3,4.4,8.7,"E",46,"SSE","ENE",11,22,67,48,1011.6,1008.9,4,4,27.6,32.6,"Yes","No"
"150374",2008-10-19,24.7,34.8,7,11.5,"E",37,"E","NNE",19,24,62,48,1012.7,1009.2,1,2,28.9,32.6,"No","No"
"150375",2008-10-20,25.2,37,10.4,11.3,"SE",41,"E","NNW",19,28,64,51,1012.7,1007.5,1,1,29.6,33,"No","No"
"150376",2008-10-21,25.9,35.1,7.6,11.2,"NNE",39,"ENE","NNE",22,28,67,56,1011.3,1007.3,6,5,30.6,33.2,"No","No"
"150377",2008-10-22,26,37.5,7.6,11.4,"ESE",63,"E","SE",22,17,65,20,1011.6,1006.5,2,1,29.9,36.5,"No","No"
"150378",2008-10-23,25.3,36.9,NA,11.4,"E",56,"SSE","NNW",13,33,66,41,1011.6,1007.6,0,1,29.6,34.4,"No","No"
"150379",2008-10-24,25.3,36.7,NA,11.2,"N",37,"S","NNW",9,26,61,44,1014.1,1009.8,1,1,30.6,33,"No","No"
"150380",2008-10-25,26.3,33.6,NA,10.9,"NNW",35,"E","N",9,24,65,53,1013.3,1008.7,4,4,30.3,32.5,"No","No"
"150381",2008-10-26,26,33.8,NA,11.3,"NNW",33,"NNW","N",9,20,62,46,1012.5,1007.6,4,5,30.2,32.8,"No","No"
"150382",2008-10-27,27.2,34.1,NA,9.2,"NNW",41,"NE","N",22,31,52,36,1012.8,1009,6,7,30.6,33.1,"No","No"
"150383",2008-10-28,24.7,33.8,NA,9.9,"NNW",39,"ENE","N",11,28,60,41,1014.1,1010,7,7,29.6,31.7,"No","No"
"150384",2008-10-29,24.2,33.8,NA,8.8,"N",35,"ENE","N",11,24,57,47,1013.8,1009.8,7,6,29.8,32.6,"No","No"
"150385",2008-10-30,25,33.1,NA,8.8,"NW",35,"N","N",7,22,62,48,1015.1,1010.9,7,7,28.9,32.7,"No","No"
"150386",2008-10-31,25,34,NA,10.7,"N",39,"WNW","NNW",4,24,63,49,1013.7,1009,7,5,29.6,33.2,"No","No"
"150387",2008-11-01,25.9,34.8,NA,11.5,"NW",35,"NNW","NNW",13,24,62,41,1013.1,1009.4,6,1,29.7,33.7,"No","Yes"
"150388",2008-11-02,24.5,34.5,NA,9.7,"NW",41,"NNE","N",13,22,68,44,1013.1,1009.1,3,2,29.4,33.5,"Yes","No"
"150389",2008-11-03,25.6,33.9,NA,10.1,"NW",30,"NNW","NW",7,20,68,57,1013.6,1009.3,4,5,29.2,32.3,"No","No"
"150390",2008-11-04,26,33.4,NA,10.4,"NW",35,"WNW","NW",13,26,62,53,1012.1,1007.6,4,1,31,31.9,"No","No"
"150391",2008-11-05,27,33.8,NA,10.4,"NW",33,"N","NNW",17,20,71,53,1010.6,1006.7,3,3,30.1,32.4,"No","No"
"150392",2008-11-06,26,35.1,NA,10.6,"NNW",37,"NNW","NNW",11,22,67,51,1009.8,1005.8,6,2,30,33.2,"No","No"
"150393",2008-11-07,26.5,35.2,NA,10.8,"NNW",33,"WSW","WNW",11,19,72,41,1010.2,1005.9,6,3,29.9,34,"No","No"
"150394",2008-11-08,27.4,34.7,NA,10.8,"ESE",52,"WSW","WNW",9,28,66,50,1010,1005.7,3,3,30.7,34,"No","No"
"150395",2008-11-09,24.6,35.5,7.8,8.5,"N",30,"SE","NNW",20,20,67,54,1011.7,1007.2,7,7,28.2,33.1,"No","No"
"150396",2008-11-10,24.6,32.9,7.2,2.8,"N",39,"NE","NW",7,13,72,62,1011.8,1007.9,7,7,28.9,30.4,"No","No"
"150397",2008-11-11,25.4,33,4.4,4.4,"NW",33,"NE","NW",15,24,71,62,1011.3,1006.5,7,7,28.6,31.9,"No","No"
"150398",2008-11-12,26.8,33.7,4.2,5.3,"W",30,"NNW","W",7,19,72,56,1009.1,1005.3,6,6,29.9,32.2,"No","No"
"150399",2008-11-13,26,34.3,7,11.1,"WNW",33,"NNW","WNW",13,11,59,45,1009.7,1007.1,2,7,30.7,33.3,"No","No"
"150400",2008-11-14,26.1,35.9,7.4,11.7,"NNW",39,"N","NNE",13,26,64,42,1009.8,1006,4,2,30.8,34.7,"No","No"
"150401",2008-11-15,28,35.1,8.2,9.6,"NW",37,"NNE","NW",13,26,59,43,1009.9,1005.2,1,2,30.9,33.9,"No","No"
"150402",2008-11-16,25.6,35,7.4,8.7,"WSW",28,"SSE","W",7,13,73,46,1009.7,1005.3,4,5,28,34,"No","No"
"150403",2008-11-17,26.6,34.5,7.2,10.2,"NW",33,"NNW","NW",11,24,62,50,1008.5,1004.3,5,2,30.6,33.5,"No","No"
"150404",2008-11-18,27.1,31,6.8,2.2,NA,NA,"NNE","SSE",9,13,71,91,1008.4,1006.4,5,7,30.3,25.9,"No","Yes"
"150405",2008-11-19,23.7,34.7,1.6,10.2,"NW",28,NA,"NW",0,19,75,57,1009.5,1006,2,3,29.3,33.3,"Yes","Yes"
"150406",2008-11-20,26.2,34.7,6.6,7.4,"WNW",37,"WNW","WNW",13,28,70,51,1009.6,1004.8,4,3,30.8,34.1,"Yes","No"
"150407",2008-11-21,26,32.7,6.4,2.1,NA,NA,"WSW","SW",15,17,69,87,1008.4,1006,7,8,31.9,26.7,"No","Yes"
"150408",2008-11-22,25.7,34.2,1.8,4.2,"WNW",35,"WNW","W",17,26,79,60,1007.7,1003.3,7,7,30.2,33.3,"Yes","No"
"150409",2008-11-23,29.6,34.9,4.4,10.8,"WNW",43,"W","W",30,28,66,50,1007.3,1003.7,6,7,32.1,34.6,"No","No"
"150410",2008-11-24,26.3,35.6,9.2,9.4,"WNW",43,"W","WNW",22,31,71,57,1006.9,1004.2,7,6,31.7,34.5,"No","No"
"150411",2008-11-25,29.1,35,8.2,6.8,"NW",39,"WSW","WNW",15,30,71,71,1007.9,1004.4,7,7,32.1,31.7,"No","No"
"150412",2008-11-26,27.2,34.4,5.4,3.2,"WNW",30,"W","WNW",9,17,72,58,1008.3,1005,7,7,31.6,33.3,"No","No"
"150413",2008-11-27,26.6,35,6.4,6.8,"NW",37,"NW","WNW",17,28,71,54,1009,1006.3,6,6,30.9,33.4,"No","No"
"150414",2008-11-28,26.5,33.2,6.8,3.7,"WSW",33,"SW","WNW",11,19,70,62,1010.1,1007.6,7,7,30.3,32.3,"No","Yes"
"150415",2008-11-29,27,34.8,7.6,5.9,"E",56,"WNW","WNW",9,24,67,61,1011.2,1007.7,7,7,31.1,33.8,"Yes","Yes"
"150416",2008-11-30,23.4,31.9,6.6,4.1,"NNW",39,"S","NW",24,20,90,63,1010.7,1008.7,7,6,26.5,31.4,"Yes","No"
"150417",2008-12-01,26.4,34.6,3.6,7.9,"NNE",52,"SSW","NNW",17,13,70,58,1010.5,1005.9,7,7,30.6,33.9,"No","Yes"
"150418",2008-12-02,26,34.3,5.8,7.1,"N",35,"S","WNW",13,15,71,77,1009.2,1005.8,7,7,30.7,30.7,"Yes","Yes"
"150419",2008-12-03,26.8,34.4,4.2,10.4,"N",35,"SSE","WNW",11,17,74,58,1008,1004.9,7,5,31.1,33.9,"Yes","No"
"150420",2008-12-04,25.5,34.4,6.2,5.1,"ESE",30,"E","E",9,33,84,90,1010.3,1008.9,7,7,27.8,26.5,"No","Yes"
"150421",2008-12-05,24.1,34,5.4,10.8,"E",31,"NE","NNW",7,20,77,60,1011.9,1007.6,6,7,29.7,32.6,"Yes","No"
"150422",2008-12-06,26.8,34.8,6.6,7.6,"ESE",54,"ESE","NW",11,15,72,59,1010.3,1006.6,6,7,30.5,32.7,"No","Yes"
"150423",2008-12-07,25.4,33.5,5.2,5.2,"NW",37,"NW","NW",15,26,70,66,1009.9,1006.8,7,7,30.2,30.8,"Yes","No"
"150424",2008-12-08,27,34,4,6.5,"SE",41,"NNW","WNW",9,20,71,56,1010.1,1006.4,7,7,30.5,33.4,"No","No"
"150425",2008-12-09,24.8,33.4,7.6,4,"SSW",39,"ESE","NW",2,24,70,66,1009.3,1006.2,6,7,28.9,31.2,"No","Yes"
"150426",2008-12-10,25,33.2,6.6,8.8,"NW",50,"NW","WNW",9,26,78,64,1008.6,1005.7,4,5,29.9,32.6,"Yes","Yes"
"150427",2008-12-11,26.4,33.5,8,6.5,"SW",43,"WSW","SW",11,17,74,66,1006.9,1004.1,7,7,30.7,30.3,"Yes","No"
"150428",2008-12-12,25.8,33.4,4.6,6.7,"W",41,"S","SSW",7,19,72,76,1007.4,1005,7,7,29.9,29.4,"No","Yes"
"150429",2008-12-13,25.7,32.3,6,3.9,"WSW",31,"WNW","SW",13,11,73,76,1008.1,1005.1,7,7,30.9,30.1,"Yes","Yes"
"150430",2008-12-14,26.2,33.4,3.8,5.5,NA,NA,"ENE","NNE",13,22,80,89,1006.6,1004.7,7,8,29,27,"Yes","Yes"
"150431",2008-12-15,24.5,32.5,4,3.7,"E",37,"ESE","SSW",22,9,79,90,1007.2,1004.3,7,7,27.6,26.6,"Yes","Yes"
"150432",2008-12-16,23.7,29.1,10.4,2,"E",44,"E","ENE",19,30,97,76,1008.6,1004.7,8,6,23.9,28.5,"Yes","Yes"
"150433",2008-12-17,23.6,28.1,5.6,0.2,"SW",35,"E","NE",15,24,96,87,1009.3,1005.7,8,8,23.8,26.7,"Yes","Yes"
"150434",2008-12-18,23.8,28.3,2.8,0,"N",43,"NE","SE",17,13,94,95,1007.3,1004.6,8,8,25.8,24.9,"Yes","Yes"
"150435",2008-12-19,24.1,28.1,7.8,0,"N",61,"WNW","N",7,15,94,89,1006.2,1003,8,8,24.7,27,"Yes","Yes"
"150436",2008-12-20,24,29.2,5,0.1,"N",33,"NE","N",17,24,90,82,1006.5,1004.8,8,8,26.4,27.7,"Yes","Yes"
"150437",2008-12-21,24.6,31.7,3,3.1,"NW",37,"WNW","NNW",28,15,82,70,1007.1,1004.1,7,7,27.7,30.8,"Yes","Yes"
"150438",2008-12-22,24.9,31.2,4,3.6,NA,NA,"NE","NW",2,17,80,65,1007.5,1006.1,7,7,29.2,31.2,"Yes","No"
"150439",2008-12-23,26.1,32.9,3.6,11.1,"WNW",41,"W","WNW",17,31,72,62,1007.4,1004.6,2,4,29.9,32.2,"No","Yes"
"150440",2008-12-24,26.7,32,8,3,"W",39,"W","WNW",22,22,75,72,1007.6,1005.4,6,7,29.4,29.9,"Yes","No"
"150441",2008-12-25,25.2,32.1,4.8,8.7,"NW",26,"NNE","NW",15,13,80,59,1008,1005.8,7,7,28.9,31.7,"No","No"
"150442",2008-12-26,26.1,33.2,4.4,7.7,"NW",31,"SSE","NW",6,19,72,61,1007.6,1005,7,7,30.3,32.1,"No","Yes"
"150443",2008-12-27,25.9,34.4,4.8,7.7,"NE",33,"SSW","W",17,24,78,59,1007.1,1003.9,5,7,29.4,32.8,"Yes","Yes"
"150444",2008-12-28,23.6,32.6,5.6,4,"WSW",37,"WSW","W",24,26,68,62,1006.7,1003.8,4,7,30.6,31.1,"Yes","No"
"150445",2008-12-29,27.4,31.3,4,1.1,"S",54,"WSW","S",20,17,73,96,1005.5,1005.1,7,8,30.1,23.7,"No","Yes"
